"Departement";"2013_C";"2013_D";"2013_E";"2013_F";"2013_G";"2013_H";"2013_I";"2013_J";"2013_K";"2013_L";"2013_M";"2013_N";"2013_P";"2013_Q";"2013_R";"2013_S";"2023_C";"2023_D";"2023_E";"2023_F";"2023_G";"2023_H";"2023_I";"2023_J";"2023_K";"2023_L";"2023_M";"2023_N";"2023_P";"2023_Q";"2023_R";"2023_S"
"1";"Ain";167;34;16;494;826;39;132;108;35;36;350;207;225;364;121;369;341;198;19;575;1028;366;176;277;39;178;847;733;418;317;230;748
"2";"Aisne";99;8;8;335;657;26;97;70;20;48;168;106;87;169;99;253;258;188;13;306;708;223;89;162;21;123;426;354;170;190;146;363
"3";"Allier";76;8;11;236;505;11;91;41;12;23;144;73;64;157;72;147;175;135;8;220;424;159;86;114;15;97;309;274;100;171;122;273
"4";"Alpes-de-Haute-Provence";71;2;2;220;263;8;72;38;7;12;97;74;86;114;74;124;156;42;4;220;254;68;88;69;4;49;205;236;110;134;99;228
"5";"Alpes-Maritimes";363;10;23;1905;1842;237;318;460;134;291;1590;1083;713;921;421;984;613;147;27;1938;1983;2397;425;945;109;760;3057;2634;1000;1022;774;2113
"6";"Ardeche";140;45;3;338;466;12;143;60;6;41;181;110;97;212;117;196;240;151;12;290;442;75;154;119;10;89;361;391;162;199;151;386
"7";"Ardennes";64;5;8;185;482;15;70;33;12;20;71;55;36;86;78;154;119;125;9;169;392;131;73;108;14;37;183;187;81;108;85;231
"8";"Ariege";72;15;1;230;230;8;63;29;7;28;101;64;55;110;59;72;139;97;2;180;222;48;78;65;5;45;154;160;97;150;79;198
"9";"Aube";62;18;13;183;442;11;44;54;11;19;153;86;54;119;74;139;149;139;8;161;479;273;51;147;25;85;429;296;124;133;131;257
"10";"Aude";131;24;13;429;761;13;166;61;23;21;211;146;136;270;108;244;277;100;9;414;615;189;164;173;17;139;443;479;202;265;176;469
"11";"Aveyron";85;15;2;222;296;12;102;35;9;49;129;59;64;136;81;127;177;130;6;209;374;133;132;85;18;87;250;250;131;204;112;262
"12";"Bas-Rhin";256;80;50;674;1572;62;157;301;43;163;943;378;314;707;301;516;502;263;27;768;1462;681;190;657;68;273;1698;1043;726;903;513;1141
"13";"Bouches-du-Rhone";608;169;16;2072;2966;219;556;578;84;233;2202;996;898;1402;712;1196;1073;327;43;2347;3705;3031;745;1680;121;786;4961;3131;1767;2053;1251;2842
"14";"Calvados";166;6;10;557;995;35;153;128;29;63;369;209;209;336;192;344;311;153;13;453;938;415;185;365;57;239;833;668;376;480;332;727
